mesh 1,mesh 1,mesh 1,nuclide,score,mean,std. dev.
x,y,z,,,,
122,1,1,total,flux,6.1449683223730965e-06,2.545438116600568e-06
122,1,1,total,"(n,Xt)",0.0,0.0
122,1,1,total,heating-local,0.0,0.0
122,1,1,total,absorption,9.001466841115706e-09,6.7247795117785886e-09
123,1,1,total,flux,6.530318017750042e-06,2.817267210880972e-06
123,1,1,total,"(n,Xt)",0.0,0.0
123,1,1,total,heating-local,0.0,0.0
123,1,1,total,absorption,8.812169301024618e-09,6.531508004289593e-09
124,1,1,total,flux,6.4255130618980315e-06,2.8248733646018497e-06
124,1,1,total,"(n,Xt)",0.0,0.0
124,1,1,total,heating-local,0.0,0.0
124,1,1,total,absorption,1.3069221858401917e-08,8.712814988677796e-09
125,1,1,total,flux,6.393797467187058e-06,2.8100913281810176e-06
125,1,1,total,"(n,Xt)",0.0,0.0
125,1,1,total,heating-local,0.0,0.0
125,1,1,total,absorption,1.306467201210591e-08,8.709783356988074e-09
126,1,1,total,flux,7.544049047037839e-06,2.6450676476905592e-06
126,1,1,total,"(n,Xt)",0.0,0.0
126,1,1,total,heating-local,0.0,0.0
126,1,1,total,absorption,1.4790796456069789e-08,8.58959712085145e-09
127,1,1,total,flux,8.573546472399784e-06,2.6121879028548253e-06
127,1,1,total,"(n,Xt)",0.0,0.0
127,1,1,total,heating-local,0.0,0.0
127,1,1,total,absorption,2.042084980017614e-08,1.0422717570246951e-08
128,1,1,total,flux,1.0369608868879789e-05,4.023858008468328e-06
128,1,1,total,"(n,Xt)",0.0,0.0
128,1,1,total,heating-local,0.0,0.0
128,1,1,total,absorption,1.3731415411916383e-07,1.1507994677250609e-07
129,1,1,total,flux,1.0757544469919468e-05,4.380142004841124e-06
129,1,1,total,"(n,Xt)",0.0,0.0
129,1,1,total,heating-local,0.0,0.0
129,1,1,total,absorption,1.638337662545012e-07,1.4152021842440812e-07
