mesh 1 x,mesh 1 y,mesh 1 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
75,1,1,1.0,10000000.0,neutron,total,flux,3.7941727524201223e-06,1.4960555045602385e-06
75,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
75,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
76,1,1,1.0,10000000.0,neutron,total,flux,2.2762283539408035e-06,1.1641393688083774e-06
76,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
76,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
77,1,1,1.0,10000000.0,neutron,total,flux,2.8843248560003397e-06,1.6863670349738703e-06
77,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
77,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
78,1,1,1.0,10000000.0,neutron,total,flux,3.23300963492328e-06,1.3291617379593444e-06
78,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
78,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
79,1,1,1.0,10000000.0,neutron,total,flux,5.996337316861877e-06,2.596881216560328e-06
79,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
79,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
80,1,1,1.0,10000000.0,neutron,total,flux,3.697014403746552e-06,1.904232127698414e-06
80,1,1,10000000.0,14000000.0,neutron,total,flux,6.856530765819921e-07,6.856530765819921e-07
80,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
81,1,1,1.0,10000000.0,neutron,total,flux,2.5138902322163757e-06,1.3127474448174324e-06
81,1,1,10000000.0,14000000.0,neutron,total,flux,1.4674403519833065e-07,1.4674403519833062e-07
81,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
82,1,1,1.0,10000000.0,neutron,total,flux,2.494719873979479e-06,1.4684656238496921e-06
82,1,1,10000000.0,14000000.0,neutron,total,flux,1.4590174559971577e-06,9.727177367134213e-07
82,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
83,1,1,1.0,10000000.0,neutron,total,flux,3.517331106526513e-06,1.0787489549613873e-06
83,1,1,10000000.0,14000000.0,neutron,total,flux,7.565193653396401e-07,7.5651936533964e-07
83,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
84,1,1,1.0,10000000.0,neutron,total,flux,5.649869922076602e-06,1.510271248632589e-06
84,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
84,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
85,1,1,1.0,10000000.0,neutron,total,flux,5.389573326311462e-06,1.9478104635748132e-06
85,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
85,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
86,1,1,1.0,10000000.0,neutron,total,flux,2.322804877781867e-06,1.2305694897749861e-06
86,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
86,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
87,1,1,1.0,10000000.0,neutron,total,flux,4.369642382616658e-06,1.3220340902055918e-06
87,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
87,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
88,1,1,1.0,10000000.0,neutron,total,flux,4.999926452708426e-06,8.583954437054491e-07
88,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
88,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
