mesh 1 x,mesh 1 y,mesh 1 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
8,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
8,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
9,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
9,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
9,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
10,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
10,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
10,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
11,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
11,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
11,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
12,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
12,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
12,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
13,1,2,1.0,10000000.0,neutron,total,flux,6.863049314920243e-07,6.863049314920243e-07
13,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
13,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
14,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
14,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
14,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
15,1,2,1.0,10000000.0,neutron,total,flux,1.3197610947941436e-07,1.319761094794144e-07
15,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
15,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
16,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
16,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
16,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
17,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
17,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
17,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
18,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
18,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
18,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
19,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
19,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
19,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
20,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
20,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
20,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
21,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
21,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
21,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
22,1,2,1.0,10000000.0,neutron,total,flux,1.1388530805079598e-06,7.816085146260494e-07
22,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
22,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
23,1,2,1.0,10000000.0,neutron,total,flux,1.0658923533098035e-06,8.34921488058212e-07
23,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
23,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
24,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
